Case_ID,Activity,Timestamp_Start,Timestamp_End,Source,usuario,status
d0c4f3e47cf791344d649a0fc1b2dffc,UPLOAD,2026-04-08 23:11:20,,Teste,mirellada-conceicao,SUCESSO
97d9e4d6a1c5b0a7fe4f9d9241cf864c,ERRO_API,2026-04-09 01:58:20,,Teste,gustavoda-rocha,SUCESSO
fbd8e31e8dc4312fbae493fa683a32fe,UPLOAD,2026-04-09 02:09:20,,Teste,ana-juliafreitas,PENDENTE
e2a84f2da35d3212d236ba86aa71911d,LOGOUT,2026-04-09 12:33:20,,Teste,peixotolorena,FALHA
9a4efec70103c7779a8260baca38fdf8,LOGIN,2026-04-09 13:27:20,,Teste,pnogueira,FALHA
f658236ea64c217e5f03177fa9bdd17a,LOGOUT,2026-04-09 13:51:20,,Teste,catarinanogueira,FALHA
943915b5335fb587ff99e3c5f0c2a009,LOGOUT,2026-04-09 15:29:20,,Teste,gabrielly73,PENDENTE
b8519d5bddafa357f571e1c70e63915e,ERRO_API,2026-04-09 15:56:20,,Teste,joao-vitor01,FALHA
4ed5718460793e739e3a8d5b0467b806,ALTERACAO_DADOS,2026-04-09 18:23:20,,Teste,souzajoao-miguel,FALHA
1d95f8d51cd4e132c4ac8c03f6cea78c,ALTERACAO_DADOS,2026-04-09 18:50:20,,Teste,cda-mata,PENDENTE
d7999bdaaf64eb5829a03fb9d8654b24,LOGIN,2026-04-09 21:08:20,,Teste,rochaevelyn,SUCESSO
6029281fb0c960e23d3f9f7a39f2f1f8,UPLOAD,2026-04-09 21:57:20,,Teste,barbosaisadora,FALHA
1e9cda6411448ff91d40f6852ebfb7d5,DOWNLOAD,2026-04-10 00:09:20,,Teste,jlima,SUCESSO
5f8187dcd597d9b52993bbc02cf101f7,DOWNLOAD,2026-04-10 06:00:20,,Teste,agathaaragao,PENDENTE
ba64936dd9271227df9793967d98f7fc,RESET_SENHA,2026-04-10 08:16:20,,Teste,ilopes,FALHA
ec0be970dfff5301d39180e342ecd705,LOGIN,2026-04-10 09:59:20,,Teste,ana-beatrizporto,SUCESSO
83444cb0c4ebc36836c030871a8d2229,ALTERACAO_DADOS,2026-04-10 10:57:20,,Teste,ecastro,SUCESSO
e2553812d342d0b6d3a9baf1065b92a2,LOGOUT,2026-04-10 11:53:20,,Teste,joana16,SUCESSO
d7d13f17890055ce894b5578130cb6ae,UPLOAD,2026-04-10 12:05:20,,Teste,mourathomas,PENDENTE
0dc9ede7599cb73bb941c12a1661347d,LOGIN,2026-04-10 12:13:20,,Teste,beatriz27,PENDENTE
634c6bbf2b6213b48941f985c44873fb,LOGIN,2026-04-10 12:17:20,,Teste,lorena33,SUCESSO
f035d843af479dfaa09468db782fab7d,ERRO_API,2026-04-10 15:03:20,,Teste,caioda-cruz,PENDENTE
0265e7efbb10a241fbe9d864adc8fad7,LOGOUT,2026-04-11 02:46:20,,Teste,aragaopaulo,FALHA
3100bafaafdf28bf2c1200419b0e00c5,LOGIN,2026-04-11 03:02:20,,Teste,salesana-julia,PENDENTE
365086cd8d6c22b5aefd57c3a6ad75f7,ALTERACAO_DADOS,2026-04-11 03:49:20,,Teste,gomesfrancisco,FALHA
70c5f87d02d34b18a60c71bde637c194,ALTERACAO_DADOS,2026-04-11 08:12:20,,Teste,alicesouza,FALHA
76ca5b9554cb1264f640aed300dd4094,PAGAMENTO,2026-04-11 09:15:20,,Teste,mariane57,PENDENTE
eb2cd845a5ab0e8805282daea880ffad,COMPRA,2026-04-11 10:53:20,,Teste,luiz-felipeda-mata,PENDENTE
5cacc4ee365288f750880af2f4c05dcb,PAGAMENTO,2026-04-11 12:19:20,,Teste,erick32,FALHA
bb2cdb4aac9b90a4181ac107d241f892,UPLOAD,2026-04-11 16:56:20,,Teste,cavalcantiemanuel,FALHA
417da644bec2504971f42f554499e471,LOGIN,2026-04-11 18:42:20,,Teste,clara89,PENDENTE
a521eb66b41d8a91df82cd51bd088184,LOGIN,2026-04-11 22:36:20,,Teste,alopes,PENDENTE
a6603da33c67d0d0883d4c4644b0ede9,ALTERACAO_DADOS,2026-04-12 02:25:20,,Teste,miguel80,PENDENTE
4a1fc4767d3c649dd203cfd8eaca612b,ALTERACAO_DADOS,2026-04-12 04:48:20,,Teste,juliaazevedo,SUCESSO
